!	35	13																																	
-85	-80	-75	-70	-65	-60	-55	-50	-45	-40	-35	-30	-25	-20	-15	-10	-5	0	5	10	15	20	25	30	35	40	45	50	55	60	65	70	75	80	85	!Transversal Angle
0.9534	! IAM for transv. angle -30, long. angle -45																																		
0.8862	! IAM for transv. angle -30, long. angle -30																																		
0.9091	! IAM for transv. angle -30, long. angle -15																																		
0.9806	! IAM for transv. angle -30, long. angle 0																																		
0.9091	! IAM for transv. angle -30, long. angle 15																																		
0.8862	! IAM for transv. angle -30, long. angle 30																																		
0.9534	! IAM for transv. angle -30, long. angle 45																																		
0.8249	! IAM for transv. angle -30, long. angle 60																																		
0.4125	! IAM for transv. angle -30, long. angle 75																																		
0	! IAM for transv. angle -30, long. angle 90																																		
0	! IAM for transv. angle -25, long. angle -90																																		
0.4063	! IAM for transv. angle -25, long. angle -75																																		
0.8126	! IAM for transv. angle -25, long. angle -60																																		
0.9391	! IAM for transv. angle -25, long. angle -45																																		
0.873	! IAM for transv. angle -25, long. angle -30																																		
0.8955	! IAM for transv. angle -25, long. angle -15																																		
0.9659	! IAM for transv. angle -25, long. angle 0																																		
0.8955	! IAM for transv. angle -25, long. angle 15																																		
0.873	! IAM for transv. angle -25, long. angle 30																																		
0.9391	! IAM for transv. angle -25, long. angle 45																																		
0.8126	! IAM for transv. angle -25, long. angle 60																																		
0.4063	! IAM for transv. angle -25, long. angle 75																																		
0	! IAM for transv. angle -25, long. angle 90																																		
0	! IAM for transv. angle -20, long. angle -90																																		
0.402	! IAM for transv. angle -20, long. angle -75																																		
0.804	! IAM for transv. angle -20, long. angle -60																																		
0.9292	! IAM for transv. angle -20, long. angle -45																																		
0.8638	! IAM for transv. angle -20, long. angle -30																																		
0.886	! IAM for transv. angle -20, long. angle -15																																		
0.9558	! IAM for transv. angle -20, long. angle 0																																		
0.886	! IAM for transv. angle -20, long. angle 15																																		
0.8638	! IAM for transv. angle -20, long. angle 30																																		
0.9292	! IAM for transv. angle -20, long. angle 45																																		
0.804	! IAM for transv. angle -20, long. angle 60																																		
0.402	! IAM for transv. angle -20, long. angle 75																																		
0	! IAM for transv. angle -20, long. angle 90																																		
0	! IAM for transv. angle -15, long. angle -90																																		
0.3992	! IAM for transv. angle -15, long. angle -75																																		
0.7984	! IAM for transv. angle -15, long. angle -60																																		
0.9227	! IAM for transv. angle -15, long. angle -45																																		
0.8577	! IAM for transv. angle -15, long. angle -30																																		
0.8798	! IAM for transv. angle -15, long. angle -15																																		
0.949	! IAM for transv. angle -15, long. angle 0																																		
0.8798	! IAM for transv. angle -15, long. angle 15																																		
0.8577	! IAM for transv. angle -15, long. angle 30																																		
0.9227	! IAM for transv. angle -15, long. angle 45																																		
0.7984	! IAM for transv. angle -15, long. angle 60																																		
0.3992	! IAM for transv. angle -15, long. angle 75																																		
0	! IAM for transv. angle -15, long. angle 90																																		
0	! IAM for transv. angle -10, long. angle -90																																		
0.3973	! IAM for transv. angle -10, long. angle -75																																		
0.7945	! IAM for transv. angle -10, long. angle -60																																		
0.9183	! IAM for transv. angle -10, long. angle -45																																		
0.8536	! IAM for transv. angle -10, long. angle -30																																		
0.8756	! IAM for transv. angle -10, long. angle -15																																		
0.9445	! IAM for transv. angle -10, long. angle 0																																		
0.8756	! IAM for transv. angle -10, long. angle 15																																		
0.8536	! IAM for transv. angle -10, long. angle 30																																		
0.9183	! IAM for transv. angle -10, long. angle 45																																		
0.7945	! IAM for transv. angle -10, long. angle 60																																		
0.3973	! IAM for transv. angle -10, long. angle 75																																		
0	! IAM for transv. angle -10, long. angle 90																																		
0	! IAM for transv. angle -5, long. angle -90																																		
0.3956	! IAM for transv. angle -5, long. angle -75																																		
0.7911	! IAM for transv. angle -5, long. angle -60																																		
0.9143	! IAM for transv. angle -5, long. angle -45																																		
0.8499	! IAM for transv. angle -5, long. angle -30																																		
0.8718	! IAM for transv. angle -5, long. angle -15																																		
0.9404	! IAM for transv. angle -5, long. angle 0																																		
0.8718	! IAM for transv. angle -5, long. angle 15																																		
0.8499	! IAM for transv. angle -5, long. angle 30																																		
0.9143	! IAM for transv. angle -5, long. angle 45																																		
0.7911	! IAM for transv. angle -5, long. angle 60																																		
0.3956	! IAM for transv. angle -5, long. angle 75																																		
0	! IAM for transv. angle -5, long. angle 90																																		
0	! IAM for transv. angle 0, long. angle -90																																		
0.3933	! IAM for transv. angle 0, long. angle -75																																		
0.7865	! IAM for transv. angle 0, long. angle -60																																		
0.909	! IAM for transv. angle 0, long. angle -45																																		
0.845	! IAM for transv. angle 0, long. angle -30																																		
0.8668	! IAM for transv. angle 0, long. angle -15																																		
0.935	! IAM for transv. angle 0, long. angle 0																																		
0.8668	! IAM for transv. angle 0, long. angle 15																																		
0.845	! IAM for transv. angle 0, long. angle 30																																		
0.909	! IAM for transv. angle 0, long. angle 45																																		
0.7865	! IAM for transv. angle 0, long. angle 60																																		
0.3933	! IAM for transv. angle 0, long. angle 75																																		
0	! IAM for transv. angle 0, long. angle 90																																		
0	! IAM for transv. angle 5, long. angle -90																																		
0.3956	! IAM for transv. angle 5, long. angle -75																																		
0.7911	! IAM for transv. angle 5, long. angle -60																																		
0.9143	! IAM for transv. angle 5, long. angle -45																																		
0.8499	! IAM for transv. angle 5, long. angle -30																																		
0.8718	! IAM for transv. angle 5, long. angle -15																																		
0.9404	! IAM for transv. angle 5, long. angle 0																																		
0.8718	! IAM for transv. angle 5, long. angle 15																																		
0.8499	! IAM for transv. angle 5, long. angle 30																																		
0.9143	! IAM for transv. angle 5, long. angle 45																																		
0.7911	! IAM for transv. angle 5, long. angle 60																																		
0.3956	! IAM for transv. angle 5, long. angle 75																																		
0	! IAM for transv. angle 5, long. angle 90																																		
0	! IAM for transv. angle 10, long. angle -90																																		
0.3973	! IAM for transv. angle 10, long. angle -75																																		
0.7945	! IAM for transv. angle 10, long. angle -60																																		
0.9183	! IAM for transv. angle 10, long. angle -45																																		
0.8536	! IAM for transv. angle 10, long. angle -30																																		
0.8756	! IAM for transv. angle 10, long. angle -15																																		
0.9445	! IAM for transv. angle 10, long. angle 0																																		
0.8756	! IAM for transv. angle 10, long. angle 15																																		
0.8536	! IAM for transv. angle 10, long. angle 30																																		
0.9183	! IAM for transv. angle 10, long. angle 45																																		
0.7945	! IAM for transv. angle 10, long. angle 60																																		
0.3973	! IAM for transv. angle 10, long. angle 75																																		
0	! IAM for transv. angle 10, long. angle 90																																		
0	! IAM for transv. angle 15, long. angle -90																																		
0.3992	! IAM for transv. angle 15, long. angle -75																																		
0.7984	! IAM for transv. angle 15, long. angle -60																																		
0.9227	! IAM for transv. angle 15, long. angle -45																																		
0.8577	! IAM for transv. angle 15, long. angle -30																																		
0.8798	! IAM for transv. angle 15, long. angle -15																																		
0.949	! IAM for transv. angle 15, long. angle 0																																		
0.8798	! IAM for transv. angle 15, long. angle 15																																		
0.8577	! IAM for transv. angle 15, long. angle 30																																		
0.9227	! IAM for transv. angle 15, long. angle 45																																		
0.7984	! IAM for transv. angle 15, long. angle 60																																		
0.3992	! IAM for transv. angle 15, long. angle 75																																		
0	! IAM for transv. angle 15, long. angle 90																																		
0	! IAM for transv. angle 20, long. angle -90																																		
0.402	! IAM for transv. angle 20, long. angle -75																																		
0.804	! IAM for transv. angle 20, long. angle -60																																		
0.9292	! IAM for transv. angle 20, long. angle -45																																		
0.8638	! IAM for transv. angle 20, long. angle -30																																		
0.886	! IAM for transv. angle 20, long. angle -15																																		
0.9558	! IAM for transv. angle 20, long. angle 0																																		
0.886	! IAM for transv. angle 20, long. angle 15																																		
0.8638	! IAM for transv. angle 20, long. angle 30																																		
0.9292	! IAM for transv. angle 20, long. angle 45																																		
0.804	! IAM for transv. angle 20, long. angle 60																																		
0.402	! IAM for transv. angle 20, long. angle 75																																		
0	! IAM for transv. angle 20, long. angle 90																																		
0	! IAM for transv. angle 25, long. angle -90																																		
0.4063	! IAM for transv. angle 25, long. angle -75																																		
0.8126	! IAM for transv. angle 25, long. angle -60																																		
0.9391	! IAM for transv. angle 25, long. angle -45																																		
0.873	! IAM for transv. angle 25, long. angle -30																																		
0.8955	! IAM for transv. angle 25, long. angle -15																																		
0.9659	! IAM for transv. angle 25, long. angle 0																																		
0.8955	! IAM for transv. angle 25, long. angle 15																																		
0.873	! IAM for transv. angle 25, long. angle 30																																		
0.9391	! IAM for transv. angle 25, long. angle 45																																		
0.8126	! IAM for transv. angle 25, long. angle 60																																		
0.4063	! IAM for transv. angle 25, long. angle 75																																		
0	! IAM for transv. angle 25, long. angle 90																																		
0	! IAM for transv. angle 30, long. angle -90																																		
0.4125	! IAM for transv. angle 30, long. angle -75																																		
0.8249	! IAM for transv. angle 30, long. angle -60																																		
0.9534	! IAM for transv. angle 30, long. angle -45																																		
0.8862	! IAM for transv. angle 30, long. angle -30																																		
0.9091	! IAM for transv. angle 30, long. angle -15																																		
0.9806	! IAM for transv. angle 30, long. angle 0																																		
0.9091	! IAM for transv. angle 30, long. angle 15																																		
0.8862	! IAM for transv. angle 30, long. angle 30																																		
0.9534	! IAM for transv. angle 30, long. angle 45																																		
0.8249	! IAM for transv. angle 30, long. angle 60																																		
0.4125	! IAM for transv. angle 30, long. angle 75																																		
0	! IAM for transv. angle 30, long. angle 90																																		
0	! IAM for transv. angle 35, long. angle -90																																		
0.4208	! IAM for transv. angle 35, long. angle -75																																		
0.8417	! IAM for transv. angle 35, long. angle -60																																		
0.9728	! IAM for transv. angle 35, long. angle -45																																		
0.9043	! IAM for transv. angle 35, long. angle -30																																		
0.9276	! IAM for transv. angle 35, long. angle -15																																		
1.0006	! IAM for transv. angle 35, long. angle 0																																		
0.9276	! IAM for transv. angle 35, long. angle 15																																		
0.9043	! IAM for transv. angle 35, long. angle 30																																		
0.9728	! IAM for transv. angle 35, long. angle 45																																		
0.8417	! IAM for transv. angle 35, long. angle 60																																		
0.4208	! IAM for transv. angle 35, long. angle 75																																		
0	! IAM for transv. angle 35, long. angle 90																																		
0	! IAM for transv. angle 40, long. angle -90																																		
0.4317	! IAM for transv. angle 40, long. angle -75																																		
0.8634	! IAM for transv. angle 40, long. angle -60																																		
0.9978	! IAM for transv. angle 40, long. angle -45																																		
0.9275	! IAM for transv. angle 40, long. angle -30																																		
0.9514	! IAM for transv. angle 40, long. angle -15																																		
1.0263	! IAM for transv. angle 40, long. angle 0																																		
0.9514	! IAM for transv. angle 40, long. angle 15																																		
0.9275	! IAM for transv. angle 40, long. angle 30																																		
0.9978	! IAM for transv. angle 40, long. angle 45																																		
0.8634	! IAM for transv. angle 40, long. angle 60																																		
0.4317	! IAM for transv. angle 40, long. angle 75																																		
0	! IAM for transv. angle 40, long. angle 90																																		
0	! IAM for transv. angle 45, long. angle -90																																		
0.4451	! IAM for transv. angle 45, long. angle -75																																		
0.8902	! IAM for transv. angle 45, long. angle -60																																		
1.0288	! IAM for transv. angle 45, long. angle -45																																		
0.9563	! IAM for transv. angle 45, long. angle -30																																		
0.981	! IAM for transv. angle 45, long. angle -15																																		
1.0582	! IAM for transv. angle 45, long. angle 0																																		
0.981	! IAM for transv. angle 45, long. angle 15																																		
0.9563	! IAM for transv. angle 45, long. angle 30																																		
1.0288	! IAM for transv. angle 45, long. angle 45																																		
0.8902	! IAM for transv. angle 45, long. angle 60																																		
0.4451	! IAM for transv. angle 45, long. angle 75																																		
0	! IAM for transv. angle 45, long. angle 90																																		
0	! IAM for transv. angle 50, long. angle -90																																		
0.4611	! IAM for transv. angle 50, long. angle -75																																		
0.9222	! IAM for transv. angle 50, long. angle -60																																		
1.0658	! IAM for transv. angle 50, long. angle -45																																		
0.9907	! IAM for transv. angle 50, long. angle -30																																		
1.0162	! IAM for transv. angle 50, long. angle -15																																		
1.0962	! IAM for transv. angle 50, long. angle 0																																		
1.0162	! IAM for transv. angle 50, long. angle 15																																		
0.9907	! IAM for transv. angle 50, long. angle 30																																		
1.0658	! IAM for transv. angle 50, long. angle 45																																		
0.9222	! IAM for transv. angle 50, long. angle 60																																		
0.4611	! IAM for transv. angle 50, long. angle 75																																		
0	! IAM for transv. angle 50, long. angle 90																																		
0	! IAM for transv. angle 55, long. angle -90																																		
0.4796	! IAM for transv. angle 55, long. angle -75																																		
0.9592	! IAM for transv. angle 55, long. angle -60																																		
1.1086	! IAM for transv. angle 55, long. angle -45																																		
1.0305	! IAM for transv. angle 55, long. angle -30																																		
1.057	! IAM for transv. angle 55, long. angle -15																																		
1.1402	! IAM for transv. angle 55, long. angle 0																																		
1.057	! IAM for transv. angle 55, long. angle 15																																		
1.0305	! IAM for transv. angle 55, long. angle 30																																		
1.1086	! IAM for transv. angle 55, long. angle 45																																		
0.9592	! IAM for transv. angle 55, long. angle 60																																		
0.4796	! IAM for transv. angle 55, long. angle 75																																		
0	! IAM for transv. angle 55, long. angle 90																																		
0	! IAM for transv. angle 60, long. angle -90																																		
0.5003	! IAM for transv. angle 60, long. angle -75																																		
1.0005	! IAM for transv. angle 60, long. angle -60																																		
1.1564	! IAM for transv. angle 60, long. angle -45																																		
1.0749	! IAM for transv. angle 60, long. angle -30																																		
1.1026	! IAM for transv. angle 60, long. angle -15																																		
1.1894	! IAM for transv. angle 60, long. angle 0																																		
1.1026	! IAM for transv. angle 60, long. angle 15																																		
1.0749	! IAM for transv. angle 60, long. angle 30																																		
1.1564	! IAM for transv. angle 60, long. angle 45																																		
1.0005	! IAM for transv. angle 60, long. angle 60																																		
0.5003	! IAM for transv. angle 60, long. angle 75																																		
0	! IAM for transv. angle 60, long. angle 90																																		
0	! IAM for transv. angle 65, long. angle -90																																		
0.5223	! IAM for transv. angle 65, long. angle -75																																		
1.0447	! IAM for transv. angle 65, long. angle -60																																		
1.2074	! IAM for transv. angle 65, long. angle -45																																		
1.1223	! IAM for transv. angle 65, long. angle -30																																		
1.1512	! IAM for transv. angle 65, long. angle -15																																		
1.2418	! IAM for transv. angle 65, long. angle 0																																		
1.1512	! IAM for transv. angle 65, long. angle 15																																		
1.1223	! IAM for transv. angle 65, long. angle 30																																		
1.2074	! IAM for transv. angle 65, long. angle 45																																		
1.0447	! IAM for transv. angle 65, long. angle 60																																		
0.5223	! IAM for transv. angle 65, long. angle 75																																		
0	! IAM for transv. angle 65, long. angle 90																																		
0	! IAM for transv. angle 70, long. angle -90																																		
0.5448	! IAM for transv. angle 70, long. angle -75																																		
1.0896	! IAM for transv. angle 70, long. angle -60																																		
1.2593	! IAM for transv. angle 70, long. angle -45																																		
1.1706	! IAM for transv. angle 70, long. angle -30																																		
1.2008	! IAM for transv. angle 70, long. angle -15																																		
1.2953	! IAM for transv. angle 70, long. angle 0																																		
1.2008	! IAM for transv. angle 70, long. angle 15																																		
1.1706	! IAM for transv. angle 70, long. angle 30																																		
1.2593	! IAM for transv. angle 70, long. angle 45																																		
1.0896	! IAM for transv. angle 70, long. angle 60																																		
0.5448	! IAM for transv. angle 70, long. angle 75																																		
0	! IAM for transv. angle 70, long. angle 90																																		
0	! IAM for transv. angle 75, long. angle -90																																		
0.5719	! IAM for transv. angle 75, long. angle -75																																		
1.1438	! IAM for transv. angle 75, long. angle -60																																		
1.3219	! IAM for transv. angle 75, long. angle -45																																		
1.2288	! IAM for transv. angle 75, long. angle -30																																		
1.2605	! IAM for transv. angle 75, long. angle -15																																		
1.3596	! IAM for transv. angle 75, long. angle 0																																		
1.2605	! IAM for transv. angle 75, long. angle 15																																		
1.2288	! IAM for transv. angle 75, long. angle 30																																		
1.3219	! IAM for transv. angle 75, long. angle 45																																		
1.1438	! IAM for transv. angle 75, long. angle 60																																		
0.5719	! IAM for transv. angle 75, long. angle 75																																		
0	! IAM for transv. angle 75, long. angle 90																																		
0	! IAM for transv. angle 80, long. angle -90																																		
0.7159	! IAM for transv. angle 80, long. angle -75																																		
1.4318	! IAM for transv. angle 80, long. angle -60																																		
1.6548	! IAM for transv. angle 80, long. angle -45																																		
1.5382	! IAM for transv. angle 80, long. angle -30																																		
1.5779	! IAM for transv. angle 80, long. angle -15																																		
1.702	! IAM for transv. angle 80, long. angle 0																																		
1.5779	! IAM for transv. angle 80, long. angle 15																																		
1.5382	! IAM for transv. angle 80, long. angle 30																																		
1.6548	! IAM for transv. angle 80, long. angle 45																																		
1.4318	! IAM for transv. angle 80, long. angle 60																																		
0.7159	! IAM for transv. angle 80, long. angle 75																																		
0	! IAM for transv. angle 80, long. angle 90																																		
0	! IAM for transv. angle 85, long. angle -90																																		
1.1708	! IAM for transv. angle 85, long. angle -75																																		
2.3417	! IAM for transv. angle 85, long. angle -60																																		
2.7064	! IAM for transv. angle 85, long. angle -45																																		
2.5157	! IAM for transv. angle 85, long. angle -30																																		
2.5806	! IAM for transv. angle 85, long. angle -15																																		
2.7836	! IAM for transv. angle 85, long. angle 0																																		
2.5806	! IAM for transv. angle 85, long. angle 15																																		
2.5157	! IAM for transv. angle 85, long. angle 30																																		
2.7064	! IAM for transv. angle 85, long. angle 45																																		
2.3417	! IAM for transv. angle 85, long. angle 60																																		
1.1708	! IAM for transv. angle 85, long. angle 75																																		
0	! IAM for transv. angle 85, long. angle 90																																		
